total_obligated_amount,award_base_action_date,period_of_performance_start_date,period_of_performance_current_end_date,period_of_performance_potential_end_date,funding_sub_agency_name,recipient_name,recipient_city_name,recipient_county_name,recipient_state_code,product_or_service_code,product_or_service_code_description,naics_code,naics_description
2798.82,7/24/2020,7/24/2020,8/24/2020 0:00,8/24/2020 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
1912.3,3/15/2019,3/15/2019,4/15/2019 0:00,4/15/2019 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
6735,7/16/2019,7/16/2019,8/31/2019 0:00,8/31/2019 0:00,NATIONAL PARK SERVICE,"CLEAN FUELS ASSOCIATES, INC.",GLEN BURNIE,ANNE ARUNDEL,MD,Z2NA,REPAIR OR ALTERATION OF FUEL SUPPLY FACILITIES,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
36533.25,5/18/2020,5/18/2020,10/24/2020 0:00,10/24/2020 0:00,DEPT OF THE ARMY,"BRANNON CONTRACTING AND MAINTENANCE SERVICES, LLC",DUNCAN FALLS,MUSKINGUM,OH,C1KA,ARCHITECT AND ENGINEERING- CONSTRUCTION: DAMS,212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
1332.04,3/14/2018,3/14/2018,5/15/2018 0:00,5/15/2018 0:00,DEPT OF THE NAVY,"DK MARINE SERVICE CO.,LTD.",PUSAN,,,W099,LEASE OR RENTAL OF EQUIPMENT- MISCELLANEOUS,212321,CONSTRUCTION SAND AND GRAVEL MINING
756.45,12/16/2016,12/16/2016,12/19/2016 0:00,12/19/2016 0:00,DEPT OF THE ARMY,GREEN DREAM INTERNATIONAL LLC,ALEXANDRIA,ALEXANDRIA (CITY),VA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
947.1,10/30/2017,10/30/2017,3/2/2018 0:00,3/2/2018 0:00,DEFENSE LOGISTICS AGENCY,"MECHATRONICS, INC.",PRESTON,KING,WA,3120,"BEARINGS, PLAIN, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
76879.73,5/23/2018,5/23/2018,6/8/2018 0:00,6/8/2018 0:00,DEPT OF THE AIR FORCE,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",LOUISVILLE,JEFFERSON,KY,6830,GASES: COMPRESSED AND LIQUEFIED,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
279262.44,11/27/2019,11/27/2019,3/30/2022 0:00,3/30/2022 0:00,DEPT OF THE ARMY,"NENANA HEATING SERVICES, INC",NENANA,YUKON-KOYUKUK,AK,9130,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",211120,CRUDE PETROLEUM EXTRACTION
14100,10/31/2017,10/30/2017,10/31/2017 0:00,10/31/2017 0:00,"VETERANS AFFAIRS, DEPARTMENT OF","ARROW SPECIALIZED CARRIERS, INC.",KENOSHA,KENOSHA,WI,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
67.88,3/17/2017,3/17/2017,5/15/2017 0:00,5/15/2017 0:00,DEFENSE LOGISTICS AGENCY,HOWCO DISTRIBUTING CO.,VANCOUVER,CLARK,WA,5355,KNOBS AND POINTERS,213113,SUPPORT ACTIVITIES FOR COAL MINING
597.78,8/28/2017,8/28/2017,9/27/2017 0:00,9/27/2017 0:00,DEFENSE LOGISTICS AGENCY,"M & M AEROSPACE HARDWARE, INC.",MIAMI,MIAMI-DADE,FL,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
29516.2,7/30/2020,7/30/2020,7/30/2020 0:00,7/30/2020 0:00,DEPT OF THE ARMY,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",LOUISVILLE,JEFFERSON,KY,6830,GASES: COMPRESSED AND LIQUEFIED,211130,NATURAL GAS EXTRACTION
57381.73,7/1/2019,6/27/2019,9/23/2019 0:00,9/23/2019 0:00,DEPT OF THE ARMY,SCHARNAGL HOCH- UND TIEFBAU-GMBH,WEIDEN I.D.OPF.,,,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
29426.56,6/4/2019,6/4/2019,6/13/2019 0:00,6/13/2019 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,6830,GASES: COMPRESSED AND LIQUEFIED,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
294,1/19/2021,1/19/2021,1/29/2021 0:00,1/29/2021 0:00,FEDERAL ACQUISITION SERVICE,"GIGA, INC.",MACON,BIBB,GA,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
235991.34,8/19/2019,8/19/2019,9/30/2019 0:00,9/30/2019 0:00,DEPT OF THE ARMY,"ST. CLAIR CONSTRUCTION, INC.",VICTOR,RAVALLI,MT,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
2103.62,4/25/2016,4/25/2016,10/24/2016 0:00,10/24/2016 0:00,DEFENSE LOGISTICS AGENCY,"POLYTECHNIC INDUSTRIES, INC.",MOUNT LAUREL,BURLINGTON,NJ,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
32514.74,8/15/2016,8/15/2016,12/22/2016 0:00,12/25/2016 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,Y1QA,CONSTRUCTION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),212321,CONSTRUCTION SAND AND GRAVEL MINING
18419.53,11/28/2018,11/28/2018,12/7/2018 0:00,12/7/2018 0:00,DEPT OF THE ARMY,"DIRECT ENERGY BUSINESS MARKETING, LLC",ISELIN,MIDDLESEX,NJ,S111,UTILITIES- GAS,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
383095.29,6/17/2019,6/17/2019,9/1/2020 0:00,9/1/2020 0:00,BUREAU OF RECLAMATION,"SPECIALIZED GOVERNMENT SOURCING, INC.",ALISO VIEJO,ORANGE,CA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
118.2,1/7/2021,1/7/2021,8/30/2021 0:00,8/30/2021 0:00,DEFENSE LOGISTICS AGENCY,"SZY HOLDINGS, LLC",BROOKLYN,KINGS,NY,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
98,12/19/2018,12/19/2018,12/29/2018 0:00,12/29/2018 0:00,FEDERAL ACQUISITION SERVICE,"GIGA, INC.",MACON,BIBB,GA,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
29160.39,9/22/2021,9/22/2021,10/22/2021 0:00,10/22/2021 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
0,9/29/2017,9/27/2017,,,DEPT OF THE ARMY,TRINITY EXCAVATING & CONSTRUCTION INC,KANSAS CITY,WYANDOTTE,KS,3820,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
34467.1,9/29/2017,9/29/2017,3/30/2018 0:00,3/30/2018 0:00,DEPT OF THE ARMY,L L CARTER & SON INC,RUTHER GLEN,CAROLINE,VA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
385,4/28/2017,4/28/2017,9/25/2017 0:00,9/25/2017 0:00,DEFENSE LOGISTICS AGENCY,"MIDWEST FIBERGLAS FABRICATORS, INCORPORATED",MARINE CITY,ST. CLAIR,MI,5330,PACKING AND GASKET MATERIALS,213113,SUPPORT ACTIVITIES FOR COAL MINING
680,1/3/2019,1/3/2019,3/4/2019 0:00,3/4/2019 0:00,DEFENSE LOGISTICS AGENCY,2S TECHNOLOGIES INC,CARLSBAD,SAN DIEGO,CA,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
219249.67,4/30/2018,7/1/2018,7/1/2018 0:00,7/1/2018 0:00,DEPT OF THE ARMY,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",LOUISVILLE,JEFFERSON,KY,6830,GASES: COMPRESSED AND LIQUEFIED,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
3491.27,7/17/2019,6/28/2019,6/28/2019 0:00,6/28/2019 0:00,NATIONAL PARK SERVICE,JJC RESOURCES LLC,PORT ANGELES,CLALLAM,WA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
19296.42,7/6/2015,7/6/2015,1/22/2016 0:00,1/22/2016 0:00,DEPT OF THE ARMY,"IRON MOUNTAIN QUARRY, L.L.C.",BOTHELL,SNOHOMISH,WA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
139.89,3/7/2016,3/7/2016,4/25/2016 0:00,4/25/2016 0:00,DEFENSE LOGISTICS AGENCY,IBIDE CORPORATION,WOODSTOCK,BALTIMORE,MD,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
714,8/3/2021,8/3/2021,1/31/2022 0:00,1/31/2022 0:00,DEFENSE LOGISTICS AGENCY,BASIC RUBBER AND PLASTICS CO.,WALLED LAKE,OAKLAND,MI,5330,PACKING AND GASKET MATERIALS,213113,SUPPORT ACTIVITIES FOR COAL MINING
0,10/1/2020,10/1/2020,,,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,9140,FUEL OILS,211130,NATURAL GAS EXTRACTION
10350,8/25/2016,8/24/2016,9/30/2016 0:00,9/30/2016 0:00,CENTERS FOR DISEASE CONTROL AND PREVENTION,CONSOL ENERGY INC.,CANONSBURG,WASHINGTON,PA,3820,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",212112,BITUMINOUS COAL UNDERGROUND MINING
650,4/24/2017,4/24/2017,6/8/2017 0:00,6/8/2017 0:00,DEFENSE LOGISTICS AGENCY,PRO STEEL,ROSEVILLE,MACOMB,MI,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
1723.26,11/30/2018,11/30/2018,12/31/2018 0:00,12/31/2018 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
91967.76,8/27/2019,8/23/2019,8/31/2019 0:00,8/31/2019 0:00,DEPT OF THE ARMY,SY TRADE,NAMYANGJU,,,3895,MISCELLANEOUS CONSTRUCTION EQUIPMENT,212321,CONSTRUCTION SAND AND GRAVEL MINING
248132.39,8/12/2018,8/12/2018,12/30/2018 0:00,12/30/2018 0:00,"STATE, DEPARTMENT OF",FOREIGN AWARDEES (UNDISCLOSED),WASHINGTON,DISTRICT OF COLUMBIA,DC,Y1JZ,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,212321,CONSTRUCTION SAND AND GRAVEL MINING
1351.8,1/17/2019,1/17/2019,2/19/2019 0:00,2/19/2019 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
3181.25,10/19/2016,10/19/2016,8/7/2017 0:00,8/7/2017 0:00,NATIONAL PARK SERVICE,"CORLISS RESOURCES, INC.",SUMNER,PIERCE,WA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
7209.87,7/30/2021,7/30/2021,8/30/2021 0:00,8/30/2021 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
2542.5,2/27/2018,2/27/2018,12/31/2018 0:00,7/17/2019 0:00,FOREST SERVICE,"GREER INDUSTRIES, INC.",RIVERTON,PENDLETON,WV,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
203200,2/12/2019,2/7/2019,6/1/2019 0:00,6/1/2019 0:00,DEPT OF THE ARMY,FOREIGN AWARDEES (UNDISCLOSED),WASHINGTON,DISTRICT OF COLUMBIA,DC,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
20769.94,9/25/2020,9/25/2020,12/31/2020 0:00,12/31/2020 0:00,FEDERAL LAW ENFORCEMENT TRAINING CENTER,"PG ENTERPRISES, LLC",ALBUQUERQUE,BERNALILLO,NM,V999,TRANSPORTATION/TRAVEL/RELOCATION- OTHER: OTHER,212321,CONSTRUCTION SAND AND GRAVEL MINING
582.52,3/1/2018,3/1/2018,3/8/2018 0:00,3/8/2018 0:00,DEFENSE LOGISTICS AGENCY,ARMY & AIR FORCE EXCHANGE SERVICE,DALLAS,DALLAS,TX,8955,"COFFEE, TEA, AND COCOA",212391,"POTASH, SODA, AND BORATE MINERAL MINING"
41837,1/12/2016,1/12/2016,1/20/2016 0:00,1/20/2016 0:00,DEPT OF THE ARMY,"THOMPSON, RICHARD ROY",NEW BOSTON,BOWIE,TX,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212311,DIMENSION STONE MINING AND QUARRYING
19389.72,1/24/2018,1/24/2018,7/23/2018 0:00,7/23/2018 0:00,DEFENSE LOGISTICS AGENCY,INTEGRATED PROCUREMENT TECHNOLOGIES,VANDALIA,MONTGOMERY,OH,5331,O-RING,213113,SUPPORT ACTIVITIES FOR COAL MINING
106980,6/16/2021,6/18/2021,5/2/2022 0:00,5/2/2022 0:00,NATIONAL PARK SERVICE,AMERICAN CLASSIC CONSTRUCTION INC.,CHATSWORTH,LOS ANGELES,CA,Z2LB,REPAIR OR ALTERATION OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,212321,CONSTRUCTION SAND AND GRAVEL MINING
0,8/30/2012,8/17/2012,,,DEPT OF THE ARMY,"ASH GROVE AGGREGATES, INC",BUTLER,BATES,MO,3820,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",212311,DIMENSION STONE MINING AND QUARRYING
183.68,9/20/2018,10/1/2018,10/20/2018 0:00,10/20/2018 0:00,DEPT OF THE NAVY,MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,9110,"FUELS, SOLID",213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
849.8,5/11/2018,5/11/2018,5/25/2018 0:00,5/25/2018 0:00,DEFENSE LOGISTICS AGENCY,ARMY & AIR FORCE EXCHANGE SERVICE,DALLAS,DALLAS,TX,8960,"BEVERAGES, NONALCOHOLIC",212391,"POTASH, SODA, AND BORATE MINERAL MINING"
92127.84,5/13/2021,9/1/2021,9/30/2021 0:00,9/30/2021 0:00,DEPT OF THE ARMY,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",LOUISVILLE,JEFFERSON,KY,6830,GASES: COMPRESSED AND LIQUEFIED,211130,NATURAL GAS EXTRACTION
98,4/12/2019,4/12/2019,4/22/2019 0:00,4/22/2019 0:00,FEDERAL ACQUISITION SERVICE,"GIGA, INC.",MACON,BIBB,GA,6830,GASES: COMPRESSED AND LIQUEFIED,211112,NATURAL GAS LIQUID EXTRACTION
3322.82,9/22/2020,9/22/2020,3/12/2021 0:00,3/12/2021 0:00,DEFENSE LOGISTICS AGENCY,"J. T. D. STAMPING CO., INC.",WEST BABYLON,SUFFOLK,NY,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
640.38,6/20/2016,6/20/2016,8/8/2016 0:00,8/8/2016 0:00,DEFENSE LOGISTICS AGENCY,BDS SUPPLY,GREAT FALLS,CASCADE,MT,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
5724,6/5/2018,6/5/2018,6/18/2018 0:00,6/18/2018 0:00,DEPT OF THE ARMY,US MILITARY CORP,MIAMI BEACH,MIAMI-DADE,FL,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
8244.5,5/30/2019,5/30/2019,6/11/2019 0:00,6/11/2019 0:00,DEPT OF THE ARMY,GREEN DREAM INTERNATIONAL LLC,ALEXANDRIA,ALEXANDRIA (CITY),VA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
1169.7,12/6/2019,12/6/2019,5/12/2020 0:00,5/12/2020 0:00,DEFENSE LOGISTICS AGENCY,"PIONEER INDUSTRIES, INC.",FARMINGDALE,SUFFOLK,NY,3110,"BEARINGS, ANTIFRICTION, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
533.75,10/20/2016,10/20/2016,1/23/2017 0:00,1/23/2017 0:00,DEFENSE LOGISTICS AGENCY,ROSS EQUIPMENT INC,ELIZABETH,UNION,NJ,2990,"MISCELLANEOUS ENGINE ACCESSORIES, NONAIRCRAFT",213113,SUPPORT ACTIVITIES FOR COAL MINING
764.92,9/21/2020,9/21/2020,10/21/2020 0:00,10/21/2020 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
59706.99,8/22/2017,8/22/2017,12/31/2017 0:00,12/31/2017 0:00,U.S. FISH AND WILDLIFE SERVICE,"CROWLEY HOLDINGS, LLC",NEW ORLEANS,ORLEANS,LA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
24308.2,12/30/2019,12/30/2019,12/30/2019 0:00,12/30/2019 0:00,DEPT OF THE ARMY,"WILLARD QUARRIES, INC.",LEBANON,LACLEDE,MO,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
12364.29,5/20/2021,5/20/2021,5/22/2021 0:00,5/22/2021 0:00,"STATE, DEPARTMENT OF",MISCELLANEOUS FOREIGN AWARDEES,WASHINGTON,DISTRICT OF COLUMBIA,DC,9140,FUEL OILS,213112,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS
26360.13,1/21/2016,1/15/2016,9/30/2016 0:00,9/30/2016 0:00,DEPT OF THE ARMY,"ALDON BOOKHARDT ROOFING, INC.",TITUSVILLE,BREVARD,FL,3990,MISCELLANEOUS MATERIALS HANDLING EQUIPMENT,212321,CONSTRUCTION SAND AND GRAVEL MINING
2369.11,10/9/2018,10/9/2018,2/6/2019 0:00,2/6/2019 0:00,DEFENSE LOGISTICS AGENCY,BASIC RUBBER AND PLASTICS CO.,WALLED LAKE,OAKLAND,MI,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
344293.37,7/31/2014,7/31/2014,10/18/2014 0:00,10/18/2014 0:00,NATIONAL PARK SERVICE,GOVERNMENT MLO SUPPLIES USA INC,CHEVY CHASE,MONTGOMERY,MD,6810,CHEMICALS,212393,OTHER CHEMICAL AND FERTILIZER MINERAL MINING
34012.02,7/6/2020,6/25/2020,6/25/2020 0:00,6/25/2020 0:00,DEPT OF THE ARMY,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",LOUISVILLE,JEFFERSON,KY,6830,GASES: COMPRESSED AND LIQUEFIED,211130,NATURAL GAS EXTRACTION
1350,8/13/2021,8/13/2021,12/13/2021 0:00,12/13/2021 0:00,DEFENSE LOGISTICS AGENCY,GALAXY DIE & ENGINEERING INC,SANTA CLARITA,LOS ANGELES,CA,3120,"BEARINGS, PLAIN, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
5580.08,10/10/2018,10/10/2018,11/9/2018 0:00,11/9/2018 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
398761.6,4/23/2019,4/23/2019,5/31/2019 0:00,5/31/2019 0:00,DEFENSE LOGISTICS AGENCY,"ENSPIRE ENERGY, LLC",CHESAPEAKE,CHESAPEAKE (CITY),VA,6830,GASES: COMPRESSED AND LIQUEFIED,211130,NATURAL GAS EXTRACTION
788.2,5/30/2018,5/30/2018,6/7/2018 0:00,6/7/2018 0:00,DEFENSE LOGISTICS AGENCY,ARMY & AIR FORCE EXCHANGE SERVICE,DALLAS,DALLAS,TX,8955,"COFFEE, TEA, AND COCOA",212391,"POTASH, SODA, AND BORATE MINERAL MINING"
32049.49,7/23/2019,7/23/2019,7/26/2019 0:00,9/2/2019 0:00,"STATE, DEPARTMENT OF",COMERCIALIZADORA ARCADIA SAS,BOGOTA,,,5680,MISCELLANEOUS CONSTRUCTION MATERIALS,212321,CONSTRUCTION SAND AND GRAVEL MINING
252000,7/30/2020,7/30/2020,11/30/2020 0:00,11/30/2020 0:00,DEPT OF THE ARMY,"TARPAN CONSTRUCTION, LLC",COTTONPORT,AVOYELLES,LA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
114750,10/7/2020,10/7/2020,6/30/2021 0:00,6/30/2021 0:00,DEFENSE LOGISTICS AGENCY,AGSALT PROCESSING LLC,GETTYSBURG,ADAMS,PA,6810,CHEMICALS,212393,OTHER CHEMICAL AND FERTILIZER MINERAL MINING
1385.02,7/28/2020,7/28/2020,8/27/2020 0:00,8/27/2020 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
677.7,2/21/2018,2/21/2018,3/1/2018 0:00,3/1/2018 0:00,DEPT OF THE ARMY,GREEN DREAM INTERNATIONAL LLC,ALEXANDRIA,ALEXANDRIA (CITY),VA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
0,5/8/2018,5/8/2018,11/11/2019 0:00,11/11/2019 0:00,DEFENSE LOGISTICS AGENCY,HS ENGINEERING CORP.,PLACENTIA,ORANGE,CA,3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,213113,SUPPORT ACTIVITIES FOR COAL MINING
90968.5,6/16/2020,6/16/2020,7/13/2020 0:00,7/13/2020 0:00,DEPT OF THE ARMY,AMERICAN CLASSIC CONSTRUCTION INC.,CHATSWORTH,LOS ANGELES,CA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
3633,1/26/2018,1/26/2018,2/16/2018 0:00,2/16/2018 0:00,DEFENSE LOGISTICS AGENCY,"SAVAGE ASSOCIATES, INC",MARTINSVILLE,SOMERSET,NJ,3040,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,213113,SUPPORT ACTIVITIES FOR COAL MINING
602,4/24/2016,4/24/2016,5/24/2016 0:00,5/24/2016 0:00,DEFENSE LOGISTICS AGENCY,SPAIRES INC,PENSACOLA,ESCAMBIA,FL,3120,"BEARINGS, PLAIN, UNMOUNTED",213113,SUPPORT ACTIVITIES FOR COAL MINING
1990.87,5/24/2018,5/24/2018,6/7/2018 0:00,6/7/2018 0:00,DEPT OF THE ARMY,GREEN DREAM INTERNATIONAL LLC,ALEXANDRIA,ALEXANDRIA (CITY),VA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212319,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING
435974.4,2/26/2016,2/23/2016,7/15/2016 0:00,7/15/2016 0:00,DEPT OF THE ARMY,"WILLARD QUARRIES, INC.",LEBANON,LACLEDE,MO,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
58500,3/10/2016,3/10/2016,4/21/2016 0:00,4/21/2016 0:00,U.S. FISH AND WILDLIFE SERVICE,"CLARK CONSTRUCTION CO., INC., ALLEN",OAK HALL,ACCOMACK,VA,5610,"MINERAL CONSTRUCTION MATERIALS, BULK",212321,CONSTRUCTION SAND AND GRAVEL MINING
175,7/17/2017,7/17/2017,10/25/2017 0:00,10/25/2017 0:00,DEFENSE LOGISTICS AGENCY,"HDT VEHICLE COMPONENT SALES, INC",HOUSTON,HARRIS,TX,5340,"HARDWARE, COMMERCIAL",213113,SUPPORT ACTIVITIES FOR COAL MINING
75632.42,5/23/2019,5/23/2019,5/31/2019 0:00,5/31/2019 0:00,DEPT OF THE ARMY,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",LOUISVILLE,JEFFERSON,KY,6830,GASES: COMPRESSED AND LIQUEFIED,211111,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION
47.01,1/30/2018,1/30/2018,2/13/2018 0:00,2/13/2018 0:00,DEFENSE LOGISTICS AGENCY,PRECISION CONTROL INCORPORATED,COMMERCE TOWNSHIP,OAKLAND,MI,5315,"NAILS, MACHINE KEYS, AND PINS",213113,SUPPORT ACTIVITIES FOR COAL MINING
448.2,9/25/2019,9/25/2019,10/25/2019 0:00,10/25/2019 0:00,DEFENSE LOGISTICS AGENCY,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",FORT WORTH,TARRANT,TX,5999,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,213113,SUPPORT ACTIVITIES FOR COAL MINING
14049,9/27/2017,9/27/2017,10/27/2017 0:00,10/27/2017 0:00,DEPT OF THE AIR FORCE,"S. & G. EXCAVATING, INC.",TERRE HAUTE,VIGO,IN,F021,NATURAL RESOURCES/CONSERVATION- SITE PREPARATION,212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
